level_0,level_1,Date,Open,High,Low,Close,Adj Close,Volume,compound score
AAPL,0,2015-12-31,-0.019195,0.031978,0.032171,0.010858,-1.99041,40635300.0,0.128324
AAPL,1,2015-12-30,-0.013059,0.033445,0.034587,0.02012,-1.372009,25213800.0,0.1058838709677419
AAPL,2,2015-12-29,0.017974,0.036324,0.060255,0.035355,1.855117,30931200.0,0.137096
AAPL,3,2015-12-28,-0.011201,0.030752,0.03171,0.017244,-1.169113,26704200.0,0.152
AAPL,4,2015-12-24,-0.00534,0.038684,0.038684,0.028678,-0.560394,13570400.0,0.1370833333333333
AAPL,5,2015-12-23,0.012869,0.035353,0.050603,0.034678,1.333351,32657400.0,0.1159741935483871
AAPL,6,2015-12-22,-0.000932,0.035642,0.038728,0.026481,-0.096611,32789400.0,0.0364999999999999
AAPL,7,2015-12-21,0.012261,0.047169,0.048047,0.030477,1.256096,47590600.0,0.1865848484848484
AAPL,8,2015-12-17,-0.021196,0.041288,0.043426,0.01303,-2.280251,44772800.0,0.0
AAPL,9,2015-12-15,-0.017692,0.029999,0.037912,0.015368,-1.922782,53323100.0,0.1525176470588235
AAPL,10,2015-12-14,-0.006185,0.025823,0.030395,0.003968,-0.676354,64318700.0,0.0976699999999999
AAPL,11,2015-12-11,-0.025738,0.026236,0.028018,0.005389,-2.888962,46886200.0,0.107760606060606
AAPL,12,2015-12-10,0.004757,0.038727,0.046783,0.033983,0.531411,29104200.0,0.1537153846153846
AAPL,13,2015-12-09,-0.022076,0.029803,0.03024,0.007393,-2.521813,46361400.0,0.056732
AAPL,14,2015-12-08,-0.000423,0.028317,0.037767,0.022542,-0.048309,34309500.0,0.0577624999999999
AAPL,15,2015-12-07,-0.006301,0.034533,0.042184,0.024359,-0.724663,32084200.0,-0.1528142857142857
AAPL,16,2015-12-04,0.033247,0.035776,0.071353,0.034159,3.7006,57777000.0,0.0514484848484848
AAPL,17,2015-12-03,-0.009288,0.037371,0.039507,0.016632,-1.043511,41569500.0,0.154490909090909
AAPL,18,2015-12-02,-0.009034,0.034967,0.041759,0.023854,-1.024185,33386600.0,0.0421178571428571
AAPL,19,2015-12-01,-0.008115,0.038904,0.039429,0.022369,-0.927566,34852400.0,0.0835130434782608
AAPL,20,2015-11-30,0.004159,0.036549,0.049023,0.03444,0.473442,39180300.0,-0.0328666666666666
AAPL,21,2015-11-25,-0.00715,0.03784,0.038014,0.02661,-0.821273,21388300.0,0.0294124999999999
AAPL,22,2015-11-24,0.009597,0.031276,0.049031,0.02943,1.091819,42803200.0,0.0609444444444444
AAPL,23,2015-11-23,-0.012993,0.034707,0.038698,0.017964,-1.497642,32482500.0,0.0936342857142857
AAPL,24,2015-11-20,0.004378,0.038627,0.0449,0.035577,0.502434,34287100.0,0.4282962962962964
AAPL,25,2015-11-19,0.012704,0.038056,0.056674,0.030291,1.439666,43295800.0,0.0741982758620689
AAPL,26,2015-11-18,0.031665,0.053811,0.06956,0.051444,3.478363,46674700.0,0.1756692307692308
AAPL,27,2015-11-17,-0.004291,0.041675,0.042853,0.027172,-0.473442,27616900.0,0.2233057142857143
AAPL,28,2015-11-16,0.016379,0.026123,0.052472,0.022622,1.777848,38106700.0,0.0381228571428571
AAPL,29,2015-11-13,-0.029209,0.030317,0.033626,0.004111,-3.265816,45812400.0,-0.0482103448275862
AAPL,30,2015-11-12,-0.003359,0.036304,0.041296,0.030867,-0.376824,32525600.0,0.089246875
AAPL,31,2015-11-11,-0.005652,0.031422,0.040728,0.021141,-0.637695,45218000.0,0.13179
AAPL,32,2015-11-10,-0.031517,0.003464,0.013507,-0.003746,-3.671615,59127900.0,0.05965
AAPL,33,2015-11-09,-0.004048,0.034112,0.041379,0.026333,-0.473443,33871400.0,0.013025
AAPL,34,2015-11-06,0.001158,0.036594,0.042585,0.0324,0.13527,33042300.0,0.1179727272727272
AAPL,35,2015-11-05,-0.00461,0.03812,0.045276,0.023892,-0.541092,39552700.0,0.20146875
AAPL,36,2015-11-04,-0.00465,0.044146,0.049997,0.031341,-0.548401,44886100.0,0.117624
AAPL,37,2015-11-03,0.011471,0.036052,0.059211,0.03528,1.337326,45519000.0,0.066284
AAPL,38,2015-11-02,0.014058,0.050705,0.055576,0.040354,1.61631,32203300.0,0.0790190476190476
AAPL,39,2015-10-30,-0.008546,0.043364,0.045348,0.030084,-0.990952,49365300.0,0.3431697674418604
AAPL,40,2015-10-29,0.010564,0.03443,0.051772,0.030683,1.21225,51227300.0,0.1126511627906976
AAPL,41,2015-10-28,0.041205,0.060993,0.082498,0.053099,4.541085,85551400.0,0.1675273684210525
AAPL,42,2015-10-27,-0.006332,0.040479,0.050758,0.027766,-0.70234,69884400.0,0.0568746987951807
AAPL,43,2015-10-26,-0.031911,0.030669,0.031105,0.003087,-3.65596,66333800.0,0.0723209302325581
AAPL,44,2015-10-23,0.030996,0.050196,0.072964,0.046867,3.444298,59366900.0,0.2408678571428571
AAPL,45,2015-10-22,0.015295,0.044605,0.055295,0.042504,1.674057,41654100.0,0.1266041666666666
AAPL,46,2015-10-21,-8.8e-05,0.041499,0.055934,0.038758,-0.009613,41795200.0,0.063674074074074
AAPL,47,2015-10-20,0.018258,0.035769,0.062096,0.030932,1.962677,48778800.0,0.0012719298245613
AAPL,48,2015-10-19,0.006214,0.037151,0.046044,0.030692,0.663841,29759200.0,0.0058136363636363
AAPL,49,2015-10-16,-0.007331,0.038654,0.040698,0.027039,-0.788933,39232600.0,-0.0015523809523809
AAPL,50,2015-10-15,0.014972,0.046188,0.057222,0.042038,1.587471,37673500.0,0.1231457142857142
AAPL,51,2015-10-14,-0.014134,0.034749,0.036887,0.018663,-1.520118,44462400.0,0.1808057692307692
AAPL,52,2015-10-13,0.001703,0.032133,0.047314,0.030829,0.182808,33049300.0,0.1258548387096774
AAPL,53,2015-10-12,-0.004638,0.045053,0.045238,0.033094,-0.50029,30467200.0,0.0425434782608695
AAPL,54,2015-10-09,0.023927,0.044144,0.065786,0.039303,2.520683,52766100.0,0.1125083333333333
AAPL,55,2015-10-08,-0.011554,0.033862,0.033862,0.015284,-1.231483,61979600.0,-0.0229972222222222
AAPL,56,2015-10-07,-0.004761,0.043413,0.043693,0.021656,-0.509903,46765600.0,0.0077595238095238
AAPL,57,2015-10-06,0.004784,0.03799,0.048405,0.029921,0.509903,48196800.0,0.3124360655737707
AAPL,58,2015-10-05,0.003624,0.034689,0.04872,0.027062,0.384842,52064700.0,-0.0089636363636363
AAPL,59,2015-10-02,0.007301,0.024506,0.052961,0.020142,0.769676,58019800.0,0.1171642857142857
AAPL,60,2015-10-01,-0.006528,0.027807,0.03299,0.011222,-0.692719,63929100.0,0.0659633333333333
AAPL,61,2015-09-30,0.01137,0.049976,0.063033,0.036252,1.193001,66473000.0,-0.0313052631578947
AAPL,62,2015-09-29,-0.03006,0.043003,0.049289,-0.00294,-3.251884,73365400.0,0.0673106382978723
AAPL,63,2015-09-28,-0.019789,0.031605,0.038129,0.018829,-2.183953,52109000.0,0.0162722222222222
AAPL,64,2015-09-25,-0.002522,0.052413,0.054672,0.03054,-0.279007,56151900.0,0.0765122448979591
AAPL,65,2015-09-24,0.005948,0.029669,0.050126,0.021668,0.654221,50219500.0,0.0743
AAPL,66,2015-09-23,0.008113,0.041506,0.051496,0.038481,0.885139,35756700.0,0.0838057142857142
AAPL,67,2015-09-22,-0.01571,0.022888,0.030105,0.015129,-1.741394,50346200.0,0.0067576923076923
AAPL,68,2015-09-21,0.015513,0.041413,0.056988,0.041321,1.693283,50222000.0,0.0333339285714285
AAPL,69,2015-09-16,0.001118,0.039129,0.041722,0.031889,0.125083,37173500.0,0.2208533333333333
AAPL,70,2015-09-15,0.008412,0.044986,0.050395,0.031375,0.933236,43341200.0,0.164075
AAPL,71,2015-09-14,0.009631,0.060966,0.063788,0.045313,1.058303,58363400.0,0.1346358974358974
AAPL,72,2015-09-11,0.014569,0.032196,0.05454,0.031919,1.577843,49915500.0,0.2840404761904762
AAPL,73,2015-09-10,0.02197,0.04053,0.068933,0.037038,2.328262,62892800.0,0.0892459016393442
AAPL,74,2015-09-09,-0.019232,0.052817,0.055223,0.015891,-2.078125,85010800.0,0.1357734375
AAPL,75,2015-09-08,0.027821,0.062988,0.070693,0.049385,2.924767,54843600.0,0.112806976744186
AAPL,76,2015-09-04,-0.009966,0.026213,0.040151,0.021881,-1.058304,49996300.0,-0.2785518518518518
AAPL,77,2015-09-03,-0.017536,0.040785,0.043469,0.018117,-1.895317,53233900.0,0.2712333333333334
AAPL,78,2015-09-02,0.042889,0.063617,0.083976,0.053003,4.44487,61888800.0,0.2462576923076923
AAPL,79,2015-09-01,-0.044697,0.015339,0.031286,-0.010379,-4.848968,76845900.0,0.0745744186046511
AAPL,80,2015-08-31,-0.004678,0.027837,0.050774,0.027562,-0.509903,56229300.0,0.0860619047619047
AAPL,81,2015-08-28,0.003277,0.032494,0.042987,0.026695,0.355972,53164400.0,0.0897928571428571
AAPL,82,2015-08-27,0.029447,0.063466,0.073036,0.042524,3.107567,84616100.0,0.0737642857142857
AAPL,83,2015-08-26,0.057355,0.072962,0.101016,0.052523,5.724479,96774600.0,0.0261727272727272
AAPL,84,2015-08-25,0.006012,0.119933,0.119933,0.043228,0.596482,103601600.0,-0.0001108695652173
AAPL,85,2015-08-24,-0.024962,-0.067628,0.069274,-0.095834,-2.539925,162206300.0,0.1089451612903225
AAPL,86,2015-08-21,-0.061163,0.018914,0.032477,-0.02519,-6.628837,128275500.0,-0.0001078947368421
AAPL,87,2015-08-20,-0.02052,0.030993,0.033433,0.008851,-2.270546,68501600.0,0.1034083333333333
AAPL,88,2015-08-19,-0.01279,0.035829,0.039576,0.02316,-1.43351,47445700.0,0.0673
AAPL,89,2015-08-18,-0.005634,0.032921,0.041881,0.029195,-0.63501,34560700.0,0.1399777777777777
AAPL,90,2015-08-17,0.010349,0.040115,0.054546,0.035274,1.154533,40884700.0,0.102147619047619
AAPL,91,2015-08-14,0.007034,0.031905,0.049868,0.029107,0.77929,42929500.0,0.0
AAPL,92,2015-08-13,-0.000781,0.046613,0.04986,0.033084,-0.086579,48535800.0,0.0575545454545454
AAPL,93,2015-08-12,0.01542,0.030605,0.057073,0.004046,1.68367,101217500.0,0.152606
AAPL,94,2015-08-11,-0.052038,0.022815,0.026027,-0.01608,-5.993866,97082800.0,0.0551909090909091
AAPL,95,2015-08-10,0.036357,0.048485,0.079616,0.048485,4.040795,54951600.0,0.235544
AAPL,96,2015-08-07,0.003388,0.034432,0.049509,0.03371,0.375229,38670400.0,0.1089961538461538
AAPL,97,2015-08-06,0.002176,0.049259,0.054055,0.032521,0.240516,52903000.0,0.0702724137931034
AAPL,98,2015-08-05,0.00663,0.02871,0.069604,0.020969,0.727906,99312600.0,0.1337763636363636
AAPL,99,2015-08-04,-0.032084,0.035111,0.037579,-0.00165,-3.639489,124138600.0,-0.0173066666666666
AAPL,100,2015-08-03,-0.023578,0.045824,0.055034,0.011566,-2.739196,69976000.0,0.0419871794871794
AAPL,101,2015-07-31,-0.008744,0.046065,0.046406,0.031645,-1.024811,42885000.0,0.166975
AAPL,102,2015-07-30,-0.005041,0.038414,0.040537,0.033236,-0.593804,33628300.0,0.249635294117647
